Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Base gini imputed,Share of final consumption among GDP imputed
SHAPE_Gini,innovation,AFG,Gini,NA,33.271,29.768717742110386,26.63510432537158,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,TRUE
SHAPE_Gini,service,AFG,Gini,NA,33.271,28.570939769064697,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,FALSE,TRUE
SHAPE_Gini,society,AFG,Gini,NA,33.271,27.986686720653285,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,FALSE,TRUE
SHAPE_Gini,innovation,ALB,Gini,NA,29.420202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
SHAPE_Gini,service,ALB,Gini,NA,29.420202,25.26412850036719,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,FALSE,FALSE
SHAPE_Gini,society,ALB,Gini,NA,29.420202,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,24.747497118581865,FALSE,FALSE
SHAPE_Gini,innovation,DZA,Gini,NA,40.447803,36.19005232170616,32.3804951049586,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,DZA,Gini,NA,40.447803,34.733904700910536,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,DZA,Gini,NA,40.447803,34.023623909702145,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,AGO,Gini,NA,48.238605,43.16075310384884,38.61742288134985,34.552347740753774,30.91518401075245,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,AGO,Gini,NA,48.238605,41.42413146580214,35.57231117475431,30.54715397854986,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,AGO,Gini,NA,48.238605,40.577040845671576,34.132335373116604,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,ATG,Gini,NA,48.537525,43.428207196225735,38.85672333474591,34.766458156812995,31.10675602666158,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE
SHAPE_Gini,service,ATG,Gini,NA,48.537525,41.68082424076439,35.79274199476575,30.736445424006632,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE
SHAPE_Gini,society,ATG,Gini,NA,48.537525,40.82848445706101,34.343843099961774,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE
SHAPE_Gini,innovation,ARG,Gini,NA,42.622677,38.135987527460564,34.12159083050151,30.52977086186112,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,ARG,Gini,NA,42.622677,36.601543006320796,31.430990372649536,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,ARG,Gini,NA,42.622677,35.85307049366097,30.15865624356309,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,ARM,Gini,NA,31.289574000000002,27.995867171917762,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE
SHAPE_Gini,service,ARM,Gini,NA,31.289574000000002,26.86942184345805,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,FALSE,FALSE
SHAPE_Gini,society,ARM,Gini,NA,31.289574000000002,26.319963486540782,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,FALSE,FALSE
SHAPE_Gini,innovation,AUS,Gini,NA,34.772381,31.11205539990148,27.83703512297702,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,26.258131927473872,FALSE,FALSE
SHAPE_Gini,service,AUS,Gini,NA,34.772381,29.86022671930419,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,25.914392384174377,FALSE,FALSE
SHAPE_Gini,society,AUS,Gini,NA,34.772381,29.249608775756563,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,FALSE,FALSE
SHAPE_Gini,innovation,AUT,Gini,NA,27.286419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
SHAPE_Gini,service,AUT,Gini,NA,27.286419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
SHAPE_Gini,society,AUT,Gini,NA,27.286419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
SHAPE_Gini,innovation,AZE,Gini,NA,16.895983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
SHAPE_Gini,service,AZE,Gini,NA,16.895983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
SHAPE_Gini,society,AZE,Gini,NA,16.895983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
SHAPE_Gini,innovation,BHS,Gini,NA,42.187298,37.746438834549544,33.77304810301884,30.21791759398528,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BHS,Gini,NA,42.187298,36.227668244945555,31.109931393706145,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BHS,Gini,NA,42.187298,35.4868411745016,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BHR,Gini,NA,40.803852,36.50862171196677,32.66553018836289,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BHR,Gini,NA,40.803852,35.039656092026995,30.089744935049865,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BHR,Gini,NA,40.803852,34.32312292747143,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BGD,Gini,NA,37.451,33.508708730118606,29.981403988142553,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,28.153075046508857,FALSE,FALSE
SHAPE_Gini,service,BGD,Gini,NA,37.451,32.160447996490696,27.617270976341953,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,FALSE,FALSE
SHAPE_Gini,society,BGD,Gini,NA,37.451,31.502792352955613,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,27.020109629302926,FALSE,FALSE
SHAPE_Gini,innovation,BRB,Gini,NA,46.162476,41.303168474675985,36.955377481213716,33.065258071335194,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BRB,Gini,NA,46.162476,39.641288851759626,34.041323559608074,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BRB,Gini,NA,46.162476,38.830655948473925,32.66332250871364,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BLR,Gini,NA,38.221218,34.197849490597484,30.59800213016651,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
