Model,Scenario,Region,Variable,Unit,tgt.achieved,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Base gini imputed,Share of final consumption among GDP imputed
SHAPE_Gini,innovation,AFG,Gini,NA,TRUE,33.271,30.444414294992367,27.857965247967766,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,TRUE
SHAPE_Gini,service,AFG,Gini,NA,TRUE,33.271,29.86014493901725,26.798961731812007,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,FALSE,TRUE
SHAPE_Gini,society,AFG,Gini,NA,TRUE,33.271,29.34501375111457,25.882294852968148,24,24,24,24,24,24,24,24,24,24,24,24,24,24,FALSE,TRUE
SHAPE_Gini,innovation,ALB,Gini,NA,FALSE,29.420202,26.920766383047187,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE
SHAPE_Gini,service,ALB,Gini,NA,TRUE,29.420202,26.404120581141687,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,24.95177194059478,FALSE,FALSE
SHAPE_Gini,society,ALB,Gini,NA,TRUE,29.420202,25.94861086984366,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,24.94380992810771,FALSE,FALSE
SHAPE_Gini,innovation,DZA,Gini,NA,TRUE,40.447803,37.011501663738244,33.86713625471571,30.989904935935837,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,DZA,Gini,NA,TRUE,40.447803,36.30120104730295,32.579697776828795,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,DZA,Gini,NA,TRUE,40.447803,35.67495221776842,31.465299011173983,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,AGO,Gini,NA,TRUE,48.238605,44.14042486346939,40.39041152055676,36.95898596005719,33.81908209824734,30.945933289513444,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,AGO,Gini,NA,TRUE,48.238605,43.29331059950113,38.85499472185974,34.87168326769505,31.296730385046338,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,AGO,Gini,NA,TRUE,48.238605,42.54643765019338,37.525947458924094,33.09787635495567,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,ATG,Gini,NA,TRUE,48.537525,44.413949684516524,40.64069864664022,37.188009583007734,34.02864868958654,31.137695849373983,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE
SHAPE_Gini,service,ATG,Gini,NA,TRUE,48.537525,43.56158611046176,39.09576733587414,35.08777250913102,31.49066672807902,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE
SHAPE_Gini,society,ATG,Gini,NA,TRUE,48.537525,42.81008501608209,37.75848437027179,33.302973853111425,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE
SHAPE_Gini,innovation,ARG,Gini,NA,TRUE,42.622677,39.00160611191856,35.68816851436251,32.65622877823794,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,ARG,Gini,NA,TRUE,42.622677,38.25311270803153,34.331504608529464,30.811929415563956,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,ARG,Gini,NA,TRUE,42.622677,37.5931905465515,33.157184741571456,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,ARM,Gini,NA,TRUE,31.289574000000002,28.63132319346643,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE
SHAPE_Gini,service,ARM,Gini,NA,TRUE,31.289574000000002,28.081849500168488,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,25.894344012592793,FALSE,FALSE
SHAPE_Gini,society,ARM,Gini,NA,TRUE,31.289574000000002,27.5973965103699,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,25.88539009071841,FALSE,FALSE
SHAPE_Gini,innovation,AUS,Gini,NA,TRUE,34.772381,31.818243310610473,29.11507864167277,26.641565218910443,26.4503526301948,26.4503526301948,26.4503526301948,26.4503526301948,26.4503526301948,26.4503526301948,26.4503526301948,26.4503526301948,26.4503526301948,26.4503526301948,26.4503526301948,26.4503526301948,26.4503526301948,FALSE,FALSE
SHAPE_Gini,service,AUS,Gini,NA,TRUE,34.772381,31.207608323607033,28.00828672847185,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,26.073936210314027,FALSE,FALSE
SHAPE_Gini,society,AUS,Gini,NA,TRUE,34.772381,30.66923142087689,27.05025450938497,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,25.119362614040462,FALSE,FALSE
SHAPE_Gini,innovation,AUT,Gini,NA,FALSE,27.286419,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE
SHAPE_Gini,service,AUT,Gini,NA,FALSE,27.286419,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,FALSE,FALSE
SHAPE_Gini,society,AUT,Gini,NA,FALSE,27.286419,24.066614792872887,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,FALSE,FALSE
SHAPE_Gini,innovation,AZE,Gini,NA,FALSE,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE
SHAPE_Gini,service,AZE,Gini,NA,FALSE,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,FALSE,FALSE
SHAPE_Gini,society,AZE,Gini,NA,FALSE,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,FALSE,FALSE
SHAPE_Gini,innovation,BHS,Gini,NA,TRUE,42.187298,38.60321536167542,35.32362362386643,32.322654323746484,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BHS,Gini,NA,TRUE,42.187298,37.862367613402434,33.9808176691578,30.497193975154644,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BHS,Gini,NA,TRUE,42.187298,37.20918637649509,32.81849315878793,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BHR,Gini,NA,TRUE,40.803852,37.337302008342185,34.165257761991526,31.26269910135775,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BHR,Gini,NA,TRUE,40.803852,36.62074884404463,32.86648637728114,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BHR,Gini,NA,TRUE,40.803852,35.98898734749312,31.742277917732377,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BGD,Gini,NA,TRUE,37.451,34.26929637707791,31.35789896611586,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,28.693843513718978,FALSE,FALSE
SHAPE_Gini,service,BGD,Gini,NA,TRUE,37.451,33.61162237717937,30.165847609572648,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,27.440469986924562,FALSE,FALSE
SHAPE_Gini,society,BGD,Gini,NA,TRUE,37.451,33.03177271476637,29.13401534485017,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,27.43764197556739,FALSE,FALSE
SHAPE_Gini,innovation,BRB,Gini,NA,TRUE,46.162476,42.24067639165165,38.65205891521583,35.36831760299612,32.36355126153363,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BRB,Gini,NA,TRUE,46.162476,41.43002086212933,37.18272452795799,33.37084979809375,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BRB,Gini,NA,TRUE,46.162476,40.715292386928446,35.91087779072061,31.673385308024738,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BLR,Gini,NA,TRUE,38.221218,34.974079398010865,32.002806130834664,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BLR,Gini,NA,TRUE,38.221218,34.302879661740704,30.786239022729834,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BLR,Gini,NA,TRUE,38.221218,33.711104799806066,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BEL,Gini,NA,FALSE,27.364017,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE
SHAPE_Gini,service,BEL,Gini,NA,FALSE,27.364017,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,FALSE,FALSE
SHAPE_Gini,society,BEL,Gini,NA,FALSE,27.364017,24.135056209634,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,FALSE,FALSE
SHAPE_Gini,innovation,BLZ,Gini,NA,TRUE,52.901421,48.407104617168386,44.29460935307361,40.53149704486841,37.088085360531174,33.93721367329063,31.054028826525787,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BLZ,Gini,NA,TRUE,52.901421,47.47810701631964,42.61077686085408,38.24243253972604,34.32191934287545,30.803326806032896,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BLZ,Gini,NA,TRUE,52.901421,46.65904020614052,41.15326189363112,36.29716678704651,32.01409210701147,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BEN,Gini,NA,TRUE,49.003887,44.840691229388675,41.03118574919117,37.545322291580135,34.355605382581764,31.436875465798714,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BEN,Gini,NA,TRUE,49.003887,43.98013790974792,39.47141030997084,35.42490555748697,31.793237786587675,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BEN,Gini,NA,TRUE,49.003887,43.22141618445687,38.12127835879693,33.62295806104301,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BMU,Gini,NA,TRUE,48.537525,44.413949684516524,40.64069864664022,37.188009583007734,34.02864868958654,31.137695849373983,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE
SHAPE_Gini,service,BMU,Gini,NA,TRUE,48.537525,43.56158611046176,39.09576733587414,35.08777250913102,31.49066672807902,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE
SHAPE_Gini,society,BMU,Gini,NA,TRUE,48.537525,42.81008501608209,37.75848437027179,33.302973853111425,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE
SHAPE_Gini,innovation,BTN,Gini,NA,TRUE,43.581486,39.878958112933475,36.49098381301415,33.3908397473855,30.55407288410635,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BTN,Gini,NA,TRUE,43.581486,39.113627141286734,35.10380137445525,31.505052356457774,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BTN,Gini,NA,TRUE,43.581486,38.43885984683379,33.90306485475349,30,30,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BOL,Gini,NA,TRUE,52.665359,48.19109760423507,44.09695352690771,40.35063335397803,36.92258720488848,33.78577565172701,30.91545644010828,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BOL,Gini,NA,TRUE,52.665359,47.266245469188675,42.42063480007037,38.07178334090409,34.16876464928191,30.665873127189645,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,society,BOL,Gini,NA,TRUE,52.665359,46.450833580667414,40.96962370158455,36.13519794719089,31.871235630415782,30,30,30,30,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,innovation,BIH,Gini,NA,TRUE,32.908115,30.112358712610163,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,27.922292551952136,FALSE,FALSE
SHAPE_Gini,service,BIH,Gini,NA,TRUE,32.908115,29.534461950943694,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,27.679530626901464,FALSE,FALSE
SHAPE_Gini,society,BIH,Gini,NA,TRUE,32.908115,29.02494927108472,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,27.66624109803194,FALSE,FALSE
SHAPE_Gini,innovation,BWA,Gini,NA,TRUE,66.101418,60.48567686809731,55.34702910899554,50.644942568340674,46.34232855930565,42.40524931784912,38.802650311533796,35.5061152904346,32.48964214804948,30,30,30,30,30,30,30,30,FALSE,FALSE
SHAPE_Gini,service,BWA,Gini,NA,TRUE,66.101418,59.32487518122579,53.243045637357135,47.784709197986054,42.88594699650309,38.48939295971247,34.54356203275539,31.00224727264011,30,30,30,30,30,30,30,30,30,FALSE,FALSE
