Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Absolute target achieved,Base gini imputed,Share of final consumption among GDP imputed
SHAPE_Gini,innovation,AFG,Gini,NA,33.271,32.6854304,32.110166824960004,31.545027888840707,30.989835397997112,30.444414294992367,29.908592603400503,29.382201373580656,28.86507462940564,28.3570493159281,27.857965247967766,27.36766505960354,26.885994154554513,26.412800657434357,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,TRUE,FALSE,TRUE
SHAPE_Gini,service,AFG,Gini,NA,33.271,32.559000600000005,31.86223798716,31.18038609423478,30.513125831818154,29.86014493901725,29.221137837322278,28.595805487603585,27.98385525016887,27.385000747815255,26.798961731812007,26.225463950751234,25.664239022205155,25.115024307129964,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,TRUE,FALSE,TRUE
SHAPE_Gini,society,AFG,Gini,NA,33.271,32.4458792,31.64122139584,30.856519105223164,30.091277431413626,29.34501375111457,28.61725741008693,27.90754942631677,27.215442200544114,26.540499233970618,25.882294852968148,25.240413940614534,24.61445167488729,24.004013273350086,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,TRUE,FALSE,TRUE
SHAPE_Gini,innovation,ALB,Gini,NA,29.420202,28.9024064448,28.393724091371524,27.893994547363384,27.40306024332979,26.920766383047187,26.446960894705562,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,FALSE,FALSE,FALSE
SHAPE_Gini,service,ALB,Gini,NA,29.420202,28.7906096772,28.174490630107922,27.571556530623614,26.981525220868267,26.404120581141687,25.839072400705255,25.286116251330167,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,TRUE,FALSE,FALSE
SHAPE_Gini,society,ALB,Gini,NA,29.420202,28.690580990399997,27.979054581838078,27.28517402820849,26.608501712308918,25.94861086984366,25.305085320271534,24.6775192043288,24.065516728061443,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,TRUE,FALSE,FALSE
SHAPE_Gini,innovation,DZA,Gini,NA,40.447803,39.7359216672,39.03656944585729,38.34952582361019,37.674574169114656,37.011501663738244,36.360099234456456,35.72016148793002,35.09148664574246,34.47387648077739,33.86713625471571,33.27107465663271,32.68550374267598,32.110238876804885,31.54509867257312,30.989904935935837,30.444482609063364,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE,FALSE
SHAPE_Gini,service,DZA,Gini,NA,40.447803,39.582220015800004,38.735160507461885,37.906228072602204,37.09503479184851,36.30120104730295,35.52435534489067,34.764134140510016,34.0201816699031,33.29214978216717,32.579697776828795,31.882492244404663,31.2002069103744,30.53252248249239,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE,FALSE
SHAPE_Gini,society,DZA,Gini,NA,40.447803,39.444697485599995,38.466468987957114,37.51250055705578,36.58219054324079,35.67495221776842,34.79021340276776,33.92741611037912,33.08601619084172,32.26548298930884,31.465299011173983,30.684959595696863,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE,FALSE
SHAPE_Gini,innovation,AGO,Gini,NA,48.238605,47.389605552,46.55554849428481,45.73617084078539,44.931214233987575,44.14042486346939,43.363553385872336,42.600354846280986,41.85058860098644,41.11401824160908,40.39041152055676,39.67954027779497,38.981180368905775,38.29511159441304,37.62111763035137,36.95898596005719,36.30850780716018,35.66947806975417,35.041695255726495,34.42496141922571,33.81908209824734,33.22386625331819,32.639126207259785,32.06467758601202,31.50033926049821,30.945933289513444,30.40128486361801,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,TRUE,FALSE,FALSE
