country,iso3c,Scenario,Year,gini.baseyr,gini.minimum.abs,povline.trend.tgt,gini.realised.trend,abstgt.achieved,year.abstgt.achieved
Afghanistan,AFG,innovation,2020,33.271,26.2,1.9,33.271,TRUE,2067
Afghanistan,AFG,innovation,2021,33.271,26.2,1.9,32.6854304,TRUE,2067
Afghanistan,AFG,innovation,2022,33.271,26.2,1.9,32.11016682,TRUE,2067
Afghanistan,AFG,innovation,2023,33.271,26.2,1.9,31.54502789,TRUE,2067
Afghanistan,AFG,innovation,2024,33.271,26.2,1.9,30.9898354,TRUE,2067
Afghanistan,AFG,innovation,2025,33.271,26.2,1.9,30.44441429,TRUE,2067
Afghanistan,AFG,innovation,2026,33.271,26.2,1.9,29.9085926,TRUE,2067
Afghanistan,AFG,innovation,2027,33.271,26.2,1.9,29.38220137,TRUE,2067
Afghanistan,AFG,innovation,2028,33.271,26.2,1.9,28.86507463,TRUE,2067
Afghanistan,AFG,innovation,2029,33.271,26.2,1.9,28.35704932,TRUE,2067
Afghanistan,AFG,innovation,2030,33.271,26.2,1.949152592,27.85796525,TRUE,2067
Afghanistan,AFG,innovation,2031,33.271,26.2,2.0475361,27.36766506,TRUE,2067
Afghanistan,AFG,innovation,2032,33.271,26.2,2.138739463,26.88599415,TRUE,2067
Afghanistan,AFG,innovation,2033,33.271,26.2,2.223724513,26.41280066,TRUE,2067
Afghanistan,AFG,innovation,2034,33.271,26.2,2.303258679,26.2,TRUE,2067
Afghanistan,AFG,innovation,2035,33.271,26.2,2.377966673,26.2,TRUE,2067
Afghanistan,AFG,innovation,2036,33.271,26.2,2.498374818,26.2,TRUE,2067
Afghanistan,AFG,innovation,2037,33.271,26.2,2.610558661,26.2,TRUE,2067
Afghanistan,AFG,innovation,2038,33.271,26.2,2.715588908,26.2,TRUE,2067
Afghanistan,AFG,innovation,2039,33.271,26.2,2.814322897,26.2,TRUE,2067
Afghanistan,AFG,innovation,2040,33.271,26.2,2.907460678,26.2,TRUE,2067
Afghanistan,AFG,innovation,2041,33.271,26.2,3.049384704,26.2,TRUE,2067
Afghanistan,AFG,innovation,2042,33.271,26.2,3.182490513,26.2,TRUE,2067
Afghanistan,AFG,innovation,2043,33.271,26.2,3.307864845,26.2,TRUE,2067
Afghanistan,AFG,innovation,2044,33.271,26.2,3.426386521,26.2,TRUE,2067
Afghanistan,AFG,innovation,2045,33.271,26.2,3.538779078,26.2,TRUE,2067
Afghanistan,AFG,innovation,2046,33.271,26.2,3.701331808,26.2,TRUE,2067
Afghanistan,AFG,innovation,2047,33.271,26.2,3.854826929,26.2,TRUE,2067
Afghanistan,AFG,innovation,2048,33.271,26.2,4.000305653,26.2,TRUE,2067
Afghanistan,AFG,innovation,2049,33.271,26.2,4.138621008,26.2,TRUE,2067
Afghanistan,AFG,innovation,2050,33.271,26.2,4.270483008,26.2,TRUE,2067
Afghanistan,AFG,innovation,2051,33.271,26.2,4.450790323,26.2,TRUE,2067
Afghanistan,AFG,innovation,2052,33.271,26.2,4.622289713,26.2,TRUE,2067
Afghanistan,AFG,innovation,2053,33.271,26.2,4.78590859,26.2,TRUE,2067
Afghanistan,AFG,innovation,2054,33.271,26.2,4.94241896,26.2,TRUE,2067
Afghanistan,AFG,innovation,2055,33.271,26.2,5.092472136,26.2,TRUE,2067
Afghanistan,AFG,innovation,2056,33.271,26.2,5.283097619,26.2,TRUE,2067
Afghanistan,AFG,innovation,2057,33.271,26.2,5.465769569,26.2,TRUE,2067
Afghanistan,AFG,innovation,2058,33.271,26.2,5.641234052,26.2,TRUE,2067
Afghanistan,AFG,innovation,2059,33.271,26.2,5.810124513,26.2,TRUE,2067
Afghanistan,AFG,innovation,2060,33.271,26.2,5.972984549,26.2,TRUE,2067
Afghanistan,AFG,innovation,2061,33.271,26.2,6.157588067,26.2,TRUE,2067
Afghanistan,AFG,innovation,2062,33.271,26.2,6.33601008,26.2,TRUE,2067
Afghanistan,AFG,innovation,2063,33.271,26.2,6.508736175,26.2,TRUE,2067
Afghanistan,AFG,innovation,2064,33.271,26.2,6.676189811,26.2,TRUE,2067
Afghanistan,AFG,innovation,2065,33.271,26.2,6.838743048,26.2,TRUE,2067
Afghanistan,AFG,innovation,2066,33.271,26.2,7.02268668,26.2,TRUE,2067
Afghanistan,AFG,innovation,2067,33.271,26.2,7.201615032,26.2,TRUE,2067
Afghanistan,AFG,innovation,2068,33.271,26.2,7.375871867,26.2,TRUE,2067
Afghanistan,AFG,innovation,2069,33.271,26.2,7.545762327,26.2,TRUE,2067
Afghanistan,AFG,innovation,2070,33.271,26.2,7.711558808,26.2,TRUE,2067
Afghanistan,AFG,innovation,2071,33.271,26.2,7.897462186,26.2,TRUE,2067
Afghanistan,AFG,innovation,2072,33.271,26.2,8.079272303,26.2,TRUE,2067
Afghanistan,AFG,innovation,2073,33.271,26.2,8.257241327,26.2,TRUE,2067
Afghanistan,AFG,innovation,2074,33.271,26.2,8.431596099,26.2,TRUE,2067
Afghanistan,AFG,innovation,2075,33.271,26.2,8.602541573,26.2,TRUE,2067
Afghanistan,AFG,innovation,2076,33.271,26.2,8.789290872,26.2,TRUE,2067
Afghanistan,AFG,innovation,2077,33.271,26.2,8.972940701,26.2,TRUE,2067
Afghanistan,AFG,innovation,2078,33.271,26.2,9.153667118,26.2,TRUE,2067
Afghanistan,AFG,innovation,2079,33.271,26.2,9.331630541,26.2,TRUE,2067
Afghanistan,AFG,innovation,2080,33.271,26.2,9.506977622,26.2,TRUE,2067
Afghanistan,AFG,innovation,2081,33.271,26.2,9.692894501,26.2,TRUE,2067
Afghanistan,AFG,innovation,2082,33.271,26.2,9.876686613,26.2,TRUE,2067
Afghanistan,AFG,innovation,2083,33.271,26.2,10.05847297,26.2,TRUE,2067
Afghanistan,AFG,innovation,2084,33.271,26.2,10.23836349,26.2,TRUE,2067
Afghanistan,AFG,innovation,2085,33.271,26.2,10.41645995,26.2,TRUE,2067
Afghanistan,AFG,innovation,2086,33.271,26.2,10.60087385,26.2,TRUE,2067
Afghanistan,AFG,innovation,2087,33.271,26.2,10.78408095,26.2,TRUE,2067
Afghanistan,AFG,innovation,2088,33.271,26.2,10.96616219,26.2,TRUE,2067
Afghanistan,AFG,innovation,2089,33.271,26.2,11.14719361,26.2,TRUE,2067
Afghanistan,AFG,innovation,2090,33.271,26.2,11.32724673,26.2,TRUE,2067
Afghanistan,AFG,innovation,2091,33.271,26.2,11.51029398,26.2,TRUE,2067
Afghanistan,AFG,innovation,2092,33.271,26.2,11.6929722,26.2,TRUE,2067
Afghanistan,AFG,innovation,2093,33.271,26.2,11.87534113,26.2,TRUE,2067
Afghanistan,AFG,innovation,2094,33.271,26.2,12.05745811,26.2,TRUE,2067
Afghanistan,AFG,innovation,2095,33.271,26.2,12.23937831,26.2,TRUE,2067
Afghanistan,AFG,innovation,2096,33.271,26.2,12.42011982,26.2,TRUE,2067
Afghanistan,AFG,innovation,2097,33.271,26.2,12.60125213,26.2,TRUE,2067
Afghanistan,AFG,innovation,2098,33.271,26.2,12.78282596,26.2,TRUE,2067
Afghanistan,AFG,innovation,2099,33.271,26.2,12.96489134,26.2,TRUE,2067
Afghanistan,AFG,innovation,2100,33.271,26.2,13.14749774,26.2,TRUE,2067
Afghanistan,AFG,service,2020,33.271,24.8,1.9,33.271,TRUE,2061
Afghanistan,AFG,service,2021,33.271,24.8,1.9,32.5590006,TRUE,2061
Afghanistan,AFG,service,2022,33.271,24.8,1.9,31.86223799,TRUE,2061
Afghanistan,AFG,service,2023,33.271,24.8,1.9,31.18038609,TRUE,2061
Afghanistan,AFG,service,2024,33.271,24.8,1.9,30.51312583,TRUE,2061
Afghanistan,AFG,service,2025,33.271,24.8,1.9,29.86014494,TRUE,2061
Afghanistan,AFG,service,2026,33.271,24.8,1.9,29.22113784,TRUE,2061
Afghanistan,AFG,service,2027,33.271,24.8,1.9,28.59580549,TRUE,2061
Afghanistan,AFG,service,2028,33.271,24.8,1.9,27.98385525,TRUE,2061
Afghanistan,AFG,service,2029,33.271,24.8,1.9,27.38500075,TRUE,2061
Afghanistan,AFG,service,2030,33.271,24.8,1.914230545,26.79896173,TRUE,2061
Afghanistan,AFG,service,2031,33.271,24.8,1.996818062,26.22546395,TRUE,2061
Afghanistan,AFG,service,2032,33.271,24.8,2.073815334,25.66423902,TRUE,2061
Afghanistan,AFG,service,2033,33.271,24.8,2.145901637,25.11502431,TRUE,2061
Afghanistan,AFG,service,2034,33.271,24.8,2.213632228,24.8,TRUE,2061
Afghanistan,AFG,service,2035,33.271,24.8,2.277468289,24.8,TRUE,2061
Afghanistan,AFG,service,2036,33.271,24.8,2.376017209,24.8,TRUE,2061
Afghanistan,AFG,service,2037,33.271,24.8,2.46836244,24.8,TRUE,2061
Afghanistan,AFG,service,2038,33.271,24.8,2.55523161,24.8,TRUE,2061
Afghanistan,AFG,service,2039,33.271,24.8,2.637221963,24.8,TRUE,2061
Afghanistan,AFG,service,2040,33.271,24.8,2.714831381,24.8,TRUE,2061
Afghanistan,AFG,service,2041,33.271,24.8,2.828121544,24.8,TRUE,2061
Afghanistan,AFG,service,2042,33.271,24.8,2.934963729,24.8,TRUE,2061
Afghanistan,AFG,service,2043,33.271,24.8,3.036069405,24.8,TRUE,2061
Afghanistan,AFG,service,2044,33.271,24.8,3.132028141,24.8,TRUE,2061
Afghanistan,AFG,service,2045,33.271,24.8,3.223335461,24.8,TRUE,2061
Afghanistan,AFG,service,2046,33.271,24.8,3.350012994,24.8,TRUE,2061
Afghanistan,AFG,service,2047,33.271,24.8,3.470260713,24.8,TRUE,2061
Afghanistan,AFG,service,2048,33.271,24.8,3.584736894,24.8,TRUE,2061
Afghanistan,AFG,service,2049,33.271,24.8,3.693993646,24.8,TRUE,2061
Afghanistan,AFG,service,2050,33.271,24.8,3.798499837,24.8,TRUE,2061
Afghanistan,AFG,service,2051,33.271,24.8,3.936101668,24.8,TRUE,2061
Afghanistan,AFG,service,2052,33.271,24.8,4.06761015,24.8,TRUE,2061
Afghanistan,AFG,service,2053,33.271,24.8,4.193594536,24.8,TRUE,2061
Afghanistan,AFG,service,2054,33.271,24.8,4.314539128,24.8,TRUE,2061
Afghanistan,AFG,service,2055,33.271,24.8,4.430860323,24.8,TRUE,2061
Afghanistan,AFG,service,2056,33.271,24.8,4.577162089,24.8,TRUE,2061
Afghanistan,AFG,service,2057,33.271,24.8,4.717860951,24.8,TRUE,2061
Afghanistan,AFG,service,2058,33.271,24.8,4.85343133,24.8,TRUE,2061
Afghanistan,AFG,service,2059,33.271,24.8,4.984282735,24.8,TRUE,2061
Afghanistan,AFG,service,2060,33.271,24.8,5.110771741,24.8,TRUE,2061
Afghanistan,AFG,service,2061,33.271,24.8,5.263001567,24.8,TRUE,2061
Afghanistan,AFG,service,2062,33.271,24.8,5.410269233,24.8,TRUE,2061
Afghanistan,AFG,service,2063,33.271,24.8,5.55295248,24.8,TRUE,2061
Afghanistan,AFG,service,2064,33.271,24.8,5.691382148,24.8,TRUE,2061
Afghanistan,AFG,service,2065,33.271,24.8,5.825850048,24.8,TRUE,2061
Afghanistan,AFG,service,2066,33.271,24.8,5.981763071,24.8,TRUE,2061
Afghanistan,AFG,service,2067,33.271,24.8,6.133442061,24.8,TRUE,2061
Afghanistan,AFG,service,2068,33.271,24.8,6.28117594,24.8,TRUE,2061
Afghanistan,AFG,service,2069,33.271,24.8,6.425221308,24.8,TRUE,2061
Afghanistan,AFG,service,2070,33.271,24.8,6.565807336,24.8,TRUE,2061
Afghanistan,AFG,service,2071,33.271,24.8,6.723977282,24.8,TRUE,2061
Afghanistan,AFG,service,2072,33.271,24.8,6.87866683,24.8,TRUE,2061
Afghanistan,AFG,service,2073,33.271,24.8,7.030090251,24.8,TRUE,2061
Afghanistan,AFG,service,2074,33.271,24.8,7.17844031,24.8,TRUE,2061
