"Scenario","Income group","Countries with infeasibility by 2030","Total transfer ($ mil.)","Scenario total ($ mil.)"
"EI","LIC","Afghanistan; Burkina Faso; Burundi; Central African Republic; Chad; Congo, Dem. Rep.; Ethiopia; Gambia, The; Guinea; Guinea-Bissau; Liberia; Madagascar; Malawi; Mali; Mozambique; Niger; Rwanda; Sierra Leone; Sudan; Tajikistan; Tanzania; Togo; Uganda",8676.0363667782,135893.523969505
"EI","LMIC","Algeria; Angola; Bangladesh; Benin; Bhutan; Bolivia; Cabo Verde; Cambodia; Cameroon; Comoros; Congo, Rep.; Cote d'Ivoire; El Salvador; Eswatini; Ghana; Haiti; Honduras; India; Indonesia; Iran, Islamic Rep.; Jordan; Kenya; Kiribati; Kyrgyz Republic; Lao PDR; Lesotho; Mauritania; Micronesia, Fed. Sts.; Mongolia; Morocco; Myanmar; Nepal; Nicaragua; Nigeria; Pakistan; Papua New Guinea; Philippines; Samoa; Sao Tome and Principe; Senegal; Solomon Islands; Sri Lanka; Timor-Leste; Tunisia; Ukraine; Uzbekistan; Vanuatu; Vietnam; West Bank and Gaza; Zambia; Zimbabwe",46517.4771676591,135893.523969505
"EI","UMIC","Albania; Argentina; Armenia; Azerbaijan; Belarus; Belize; Bosnia and Herzegovina; Botswana; Brazil; Bulgaria; China; Colombia; Costa Rica; Dominica; Dominican Republic; Ecuador; Equatorial Guinea; Fiji; Gabon; Georgia; Grenada; Guatemala; Guyana; Iraq; Jamaica; Kazakhstan; Libya; Malaysia; Maldives; Marshall Islands; Mauritius; Mexico; Moldova; Montenegro; Namibia; North Macedonia; Paraguay; Peru; Russian Federation; Serbia; South Africa; St. Lucia; St. Vincent and the Grenadines; Suriname; Thailand; Tonga; Turkiye; Turkmenistan; Tuvalu",80700.0104350675,135893.523969505
"MC","LIC","Afghanistan; Burkina Faso; Burundi; Central African Republic; Chad; Congo, Dem. Rep.; Ethiopia; Gambia, The; Guinea; Guinea-Bissau; Liberia; Madagascar; Malawi; Mali; Mozambique; Niger; Rwanda; Sierra Leone; Sudan; Tajikistan; Tanzania; Togo; Uganda",6436.01700982968,89073.7808026227
"MC","LMIC","Algeria; Angola; Bangladesh; Benin; Bhutan; Bolivia; Cabo Verde; Cambodia; Cameroon; Comoros; Congo, Rep.; Cote d'Ivoire; El Salvador; Eswatini; Ghana; Haiti; Honduras; India; Indonesia; Iran, Islamic Rep.; Jordan; Kenya; Kiribati; Kyrgyz Republic; Lao PDR; Lesotho; Mauritania; Micronesia, Fed. Sts.; Mongolia; Morocco; Myanmar; Nepal; Nicaragua; Nigeria; Pakistan; Papua New Guinea; Philippines; Samoa; Sao Tome and Principe; Senegal; Solomon Islands; Sri Lanka; Timor-Leste; Tunisia; Ukraine; Uzbekistan; Vanuatu; Vietnam; West Bank and Gaza; Zambia; Zimbabwe",29128.1653472093,89073.7808026227
"MC","UMIC","Albania; Argentina; Armenia; Azerbaijan; Belarus; Belize; Bosnia and Herzegovina; Botswana; Brazil; Bulgaria; China; Colombia; Costa Rica; Dominica; Dominican Republic; Ecuador; Equatorial Guinea; Fiji; Gabon; Grenada; Guatemala; Iraq; Jamaica; Kazakhstan; Libya; Maldives; Marshall Islands; Mauritius; Mexico; Moldova; Montenegro; Namibia; North Macedonia; Paraguay; Peru; Russian Federation; Serbia; South Africa; St. Lucia; St. Vincent and the Grenadines; Suriname; Thailand; Tonga; Turkmenistan; Tuvalu",53509.5984455837,89073.7808026227
"RC","LIC","Afghanistan; Burkina Faso; Burundi; Central African Republic; Chad; Congo, Dem. Rep.; Ethiopia; Gambia, The; Guinea; Guinea-Bissau; Liberia; Madagascar; Malawi; Mali; Mozambique; Niger; Rwanda; Sierra Leone; Sudan; Tajikistan; Tanzania; Togo; Uganda",5129.35977439066,61398.4921729615
"RC","LMIC","Algeria; Angola; Bangladesh; Benin; Bolivia; Cabo Verde; Cambodia; Cameroon; Comoros; Congo, Rep.; Cote d'Ivoire; El Salvador; Eswatini; Ghana; Haiti; Honduras; India; Indonesia; Iran, Islamic Rep.; Jordan; Kenya; Kiribati; Kyrgyz Republic; Lao PDR; Lesotho; Mauritania; Micronesia, Fed. Sts.; Mongolia; Morocco; Myanmar; Nepal; Nicaragua; Nigeria; Pakistan; Papua New Guinea; Philippines; Samoa; Sao Tome and Principe; Senegal; Solomon Islands; Sri Lanka; Timor-Leste; Ukraine; Vanuatu; Vietnam; West Bank and Gaza; Zambia; Zimbabwe",18607.2158090347,61398.4921729615
"RC","UMIC","Albania; Argentina; Armenia; Azerbaijan; Belarus; Belize; Bosnia and Herzegovina; Botswana; Brazil; Bulgaria; China; Colombia; Costa Rica; Dominica; Dominican Republic; Ecuador; Equatorial Guinea; Fiji; Gabon; Grenada; Guatemala; Iraq; Jamaica; Kazakhstan; Libya; Maldives; Marshall Islands; Mexico; Moldova; Namibia; Paraguay; Peru; Russian Federation; South Africa; St. Lucia; St. Vincent and the Grenadines; Suriname; Thailand; Tonga; Turkmenistan; Tuvalu",37661.9165895362,61398.4921729615
"SSP1","LIC","Afghanistan; Burkina Faso; Burundi; Central African Republic; Chad; Congo, Dem. Rep.; Ethiopia; Gambia, The; Guinea; Guinea-Bissau; Liberia; Madagascar; Malawi; Mali; Mozambique; Niger; Rwanda; Sierra Leone; Sudan; Tajikistan; Tanzania; Togo; Uganda",8512.60189258151,134806.584084847
"SSP1","LMIC","Algeria; Angola; Bangladesh; Benin; Bhutan; Bolivia; Cabo Verde; Cambodia; Cameroon; Comoros; Congo, Rep.; Cote d'Ivoire; El Salvador; Eswatini; Ghana; Haiti; Honduras; India; Indonesia; Iran, Islamic Rep.; Jordan; Kenya; Kiribati; Kyrgyz Republic; Lao PDR; Lesotho; Mauritania; Micronesia, Fed. Sts.; Mongolia; Morocco; Myanmar; Nepal; Nicaragua; Nigeria; Pakistan; Papua New Guinea; Philippines; Samoa; Sao Tome and Principe; Senegal; Solomon Islands; Sri Lanka; Timor-Leste; Tunisia; Ukraine; Uzbekistan; Vanuatu; Vietnam; West Bank and Gaza; Zambia; Zimbabwe",45958.8851658978,134806.584084847
"SSP1","UMIC","Albania; Argentina; Armenia; Azerbaijan; Belarus; Belize; Bosnia and Herzegovina; Botswana; Brazil; Bulgaria; China; Colombia; Costa Rica; Dominica; Dominican Republic; Ecuador; Equatorial Guinea; Fiji; Gabon; Georgia; Grenada; Guatemala; Guyana; Iraq; Jamaica; Kazakhstan; Lebanon; Libya; Malaysia; Maldives; Marshall Islands; Mauritius; Mexico; Moldova; Montenegro; Namibia; North Macedonia; Paraguay; Peru; Russian Federation; Serbia; South Africa; St. Lucia; St. Vincent and the Grenadines; Suriname; Thailand; Tonga; Turkiye; Turkmenistan; Tuvalu",80335.0970263673,134806.584084847
"SSP2","LIC","Afghanistan; Burkina Faso; Burundi; Central African Republic; Chad; Congo, Dem. Rep.; Ethiopia; Gambia, The; Guinea; Guinea-Bissau; Liberia; Madagascar; Malawi; Mali; Mozambique; Niger; Rwanda; Sierra Leone; Sudan; Tajikistan; Tanzania; Togo; Uganda",8597.09051720195,133793.837773872
