"Scenario","inc.grp","txt"
"EI","LIC","AFG BDI LBR NER TJK"
"EI","LMIC","BGD KIR KGZ FSM SLB TLS UKR VUT ZMB"
"EI","UMIC","ALB ARM AZE IRQ KAZ LBY MDV MHL MDA MNE SRB TKM TUV"
"MC","LIC","AFG BDI LBR NER"
"MC","LMIC","BGD KIR KGZ FSM SLB TLS UKR VUT ZMB"
"MC","UMIC","ALB AZE KAZ LBY MDV MHL SRB TKM TUV"
"RC","LIC","AFG BDI LBR NER"
"RC","LMIC","KIR KGZ FSM SLB TLS UKR VUT ZMB"
"RC","UMIC","AZE KAZ LBY MDV MHL TKM TUV"
"SSP1","LIC","AFG BDI CAF COD LBR MLI NER TJK"
"SSP1","LMIC","BGD COG KIR KGZ FSM SLB TLS UKR VUT ZMB"
"SSP1","UMIC","ALB ARM AZE IRQ KAZ LBY MDV MHL MDA MNE SRB TKM TUV"
"SSP2","LIC","AFG BFA BDI CAF TCD COD ETH LBR MLI MOZ NER TJK TZA"
"SSP2","LMIC","AGO BGD BEN COG KIR KGZ FSM PNG STP SLB TLS UKR VUT ZMB"
"SSP2","UMIC","ALB ARM AZE GAB IRQ KAZ LBY MDV MHL MDA MNE SRB TKM TUV"
