Scenario,Income Group,Countries that cannot achieve SDG1 by 2070
EI,LMIC,KIR KGZ FSM TLS UKR VUT
EI,UMIC,ALB ARM AZE KAZ LBY MDV MHL MDA MNE SRB TKM TUV
MC,LMIC,KIR KGZ FSM TLS UKR VUT
MC,UMIC,AZE KAZ LBY MHL TKM TUV
RC,LMIC,KIR KGZ FSM TLS UKR VUT
RC,UMIC,AZE KAZ LBY MDV MHL TKM TUV
SSP1,LIC,AFG
SSP1,LMIC,KIR KGZ FSM TLS UKR VUT
SSP1,UMIC,ALB ARM AZE KAZ LBY MDV MHL MDA MNE SRB TKM TUV
SSP2,LIC,AFG BDI LBR NER TJK
SSP2,LMIC,BGD KIR KGZ FSM SLB TLS UKR VUT
SSP2,UMIC,ALB ARM AZE IRQ KAZ LBY MDV MHL MDA MNE SRB TKM TUV
